trial,sweep,seg,pos,site,residual
2,21,right,7,1,0.012286231855818792
2,22,right,1,7,0.012286231858745517
2,22,right,2,6,0.012286231858745517
2,22,right,3,5,0.012286231858745729
2,22,right,4,4,0.012286231860255872
2,22,right,5,3,0.01228623186075549
2,22,right,6,2,0.012286231860819771
2,22,right,7,1,0.012286231860820165
2,23,right,1,7,0.012286231862291209
2,23,right,2,6,0.012286231862291212
2,23,right,3,5,0.012286231862291318
2,23,right,4,4,0.012286231863052131
2,23,right,5,3,0.012286231863301038
2,23,right,6,2,0.012286231863334374
2,23,right,7,1,0.012286231863334529
2,24,right,1,7,0.012286231864074628
2,24,right,2,6,0.012286231864074628
2,24,right,3,5,0.012286231864074678
2,24,right,4,4,0.01228623186445809
2,24,right,5,3,0.012286231864582428
2,24,right,6,2,0.012286231864599682
2,24,right,7,1,0.012286231864599744
2,25,right,1,7,0.012286231864972385
2,25,right,2,6,0.01228623186497239
2,25,right,3,5,0.012286231864972413
2,25,right,4,4,0.012286231865165679
2,25,right,5,3,0.012286231865227929
2,25,right,6,2,0.012286231865236849
2,25,right,7,1,0.012286231865236866
2,26,right,1,7,0.012286231865424609
2,26,right,2,6,0.01228623186542461
2,26,right,3,5,0.01228623186542462
2,26,right,4,4,0.012286231865522062
2,26,right,5,3,0.012286231865553283
2,26,right,6,2,0.012286231865557891
2,26,right,7,1,0.0122862318655579
2,27,right,1,7,0.01228623186565253
2,27,right,2,6,0.01228623186565253
2,27,right,3,5,0.012286231865652536
2,27,right,4,4,0.012286231865701673
2,27,right,5,3,0.012286231865717347
2,27,right,6,2,0.012286231865719718
2,27,right,7,1,0.012286231865719718
2,28,right,1,7,0.012286231865767432
2,28,right,2,6,0.012286231865767437
2,28,right,3,5,0.01228623186576744
2,28,right,4,4,0.01228623186579222
2,28,right,5,3,0.012286231865800102
2,28,right,6,2,0.012286231865801325
2,28,right,7,1,0.012286231865801326
2,29,right,1,7,0.012286231865825397
2,29,right,2,6,0.012286231865825397
2,29,right,3,5,0.0122862318658254
2,29,right,4,4,0.012286231865837898
2,29,right,5,3,0.01228623186584187
2,29,right,6,2,0.012286231865842495
2,29,right,7,1,0.012286231865842493
2,30,right,1,7,0.012286231865854636
2,30,right,2,6,0.012286231865854638
2,30,right,3,5,0.012286231865854638
2,30,right,4,4,0.012286231865860942
2,30,right,5,3,0.012286231865862939
2,30,right,6,2,0.01228623186586326
2,30,right,7,1,0.01228623186586326
2,31,right,1,7,0.012286231865869393
2,31,right,2,6,0.012286231865869397
2,31,right,3,5,0.012286231865869393
2,31,right,4,4,0.012286231865872577
2,31,right,5,3,0.012286231865873583
2,31,right,6,2,0.012286231865873742
2,31,right,7,1,0.01228623186587374
2,32,right,1,7,0.01228623186587684
2,32,right,2,6,0.012286231865876834
2,32,right,3,5,0.012286231865876834
2,32,right,4,4,0.01228623186587844
2,32,right,5,3,0.012286231865878948
2,32,right,6,2,0.012286231865879037
2,32,right,7,1,0.012286231865879037
2,33,right,1,7,0.012286231865880598
2,33,right,2,6,0.012286231865880598
2,33,right,3,5,0.012286231865880598
2,33,right,4,4,0.012286231865881408
2,33,right,5,3,0.01228623186588166
2,33,right,6,2,0.012286231865881698
2,33,right,7,1,0.012286231865881701
2,34,right,1,7,0.01228623186588249
2,34,right,2,6,0.01228623186588249
2,34,right,3,5,0.012286231865882489
2,34,right,4,4,0.012286231865882897
2,34,right,5,3,0.012286231865883025
2,34,right,6,2,0.012286231865883047
2,34,right,7,1,0.01228623186588305
2,35,right,1,7,0.012286231865883441
2,35,right,2,6,0.012286231865883443
2,35,right,3,5,0.012286231865883445
2,35,right,4,4,0.012286231865883656
2,35,right,5,3,0.012286231865883724
2,35,right,6,2,0.012286231865883738
2,35,right,7,1,0.012286231865883734
2,36,right,1,7,0.012286231865883927
2,36,right,2,6,0.012286231865883929
2,36,right,3,5,0.012286231865883929
2,36,right,4,4,0.012286231865884038
2,36,right,5,3,0.012286231865884073
2,36,right,6,2,0.012286231865884081
